algoritmo,distribucion,tamaño,repeticion,tiempo_ms
MergeSort,reverso,5000,1,0.879000
MergeSort,reverso,5000,2,0.975000
MergeSort,reverso,5000,3,0.960000
CountingSort,reverso,5000,1,0.180000
CountingSort,reverso,5000,2,0.218000
CountingSort,reverso,5000,3,0.197000
TimSort,reverso,5000,1,0.818000
TimSort,reverso,5000,2,0.904000
TimSort,reverso,5000,3,0.908000
Seleccion,casi,5000,1,51.371000
Seleccion,casi,5000,2,50.741000
Seleccion,casi,5000,3,50.633000
MergeSort,casi,5000,1,1.015000
MergeSort,casi,5000,2,1.021000
MergeSort,casi,5000,3,1.093000
CountingSort,casi,5000,1,0.196000
CountingSort,casi,5000,2,0.191000
CountingSort,casi,5000,3,0.191000
TimSort,casi,5000,1,0.581000
TimSort,casi,5000,2,0.676000
TimSort,casi,5000,3,0.679000
Seleccion,duplicados,5000,1,51.152000
Seleccion,duplicados,5000,2,50.817000
Seleccion,duplicados,5000,3,51.183000
MergeSort,duplicados,5000,1,1.055000
MergeSort,duplicados,5000,2,1.088000
MergeSort,duplicados,5000,3,1.112000
CountingSort,duplicados,5000,1,0.140000
CountingSort,duplicados,5000,2,0.146000
CountingSort,duplicados,5000,3,0.146000
TimSort,duplicados,5000,1,0.684000
TimSort,duplicados,5000,2,0.677000
TimSort,duplicados,5000,3,0.768000
Seleccion,aleatorio,7500,1,115.712000
Seleccion,aleatorio,7500,2,115.682000
Seleccion,aleatorio,7500,3,115.826000
MergeSort,aleatorio,7500,1,2.017000
MergeSort,aleatorio,7500,2,2.015000
MergeSort,aleatorio,7500,3,2.001000
CountingSort,aleatorio,7500,1,0.173000
CountingSort,aleatorio,7500,2,0.190000
CountingSort,aleatorio,7500,3,0.189000
TimSort,aleatorio,7500,1,1.485000
TimSort,aleatorio,7500,2,1.470000
TimSort,aleatorio,7500,3,1.565000
Seleccion,ordenado,7500,1,116.496000
Seleccion,ordenado,7500,2,116.181000
Seleccion,ordenado,7500,3,115.708000
MergeSort,ordenado,7500,1,1.404000
MergeSort,ordenado,7500,2,1.534000
MergeSort,ordenado,7500,3,1.554000
CountingSort,ordenado,7500,1,0.345000
CountingSort,ordenado,7500,2,0.233000
CountingSort,ordenado,7500,3,0.263000
TimSort,ordenado,7500,1,0.777000
TimSort,ordenado,7500,2,0.795000
TimSort,ordenado,7500,3,0.794000
Seleccion,reverso,7500,1,122.441000
Seleccion,reverso,7500,2,122.227000
Seleccion,reverso,7500,3,121.273000
MergeSort,reverso,7500,1,1.435000
MergeSort,reverso,7500,2,1.552000
MergeSort,reverso,7500,3,1.568000
CountingSort,reverso,7500,1,0.225000
CountingSort,reverso,7500,2,0.263000
CountingSort,reverso,7500,3,0.231000
TimSort,reverso,7500,1,1.369000
TimSort,reverso,7500,2,1.617000
TimSort,reverso,7500,3,1.642000
Seleccion,casi,7500,1,116.121000
Seleccion,casi,7500,2,115.683000
Seleccion,casi,7500,3,115.513000
MergeSort,casi,7500,1,1.595000
MergeSort,casi,7500,2,1.671000
MergeSort,casi,7500,3,1.784000
CountingSort,casi,7500,1,0.213000
CountingSort,casi,7500,2,0.276000
CountingSort,casi,7500,3,0.246000
TimSort,casi,7500,1,1.052000
TimSort,casi,7500,2,1.031000
TimSort,casi,7500,3,1.004000
Seleccion,duplicados,7500,1,116.615000
Seleccion,duplicados,7500,2,116.171000
Seleccion,duplicados,7500,3,116.351000
MergeSort,duplicados,7500,1,1.672000
MergeSort,duplicados,7500,2,1.736000
MergeSort,duplicados,7500,3,1.721000
CountingSort,duplicados,7500,1,0.167000
CountingSort,duplicados,7500,2,0.183000
CountingSort,duplicados,7500,3,0.183000
TimSort,duplicados,7500,1,1.140000
TimSort,duplicados,7500,2,1.159000
TimSort,duplicados,7500,3,1.193000
